# Wink sensor recording
# Sensor: ADS1291
# Start timestamp millis: 1779201613065
# Start time: 2026-05-19 16:40:13
# Signals: ADS1291_EXG
# ADS1291 enabled: true
# ADS1291 sample_rate_hz: 250
# ADS1291 gain: 6
# ADS1291 mode: 1
# ADS1291 mode_label: EEG
sample_index,ADS1291_EXG
0,420504.0
1,420323.0
2,420417.0
3,420609.0
4,420654.0
5,420576.0
6,420511.0
7,420563.0
8,420631.0
9,420623.0
10,420586.0
11,420486.0
12,420586.0
13,420751.0
14,420716.0
15,420639.0
16,420513.0
17,420571.0
18,420738.0
19,420818.0
20,420769.0
21,420781.0
22,421011.0
23,421193.0
24,421247.0
25,421159.0
26,421089.0
27,421152.0
28,421273.0
29,421320.0
30,421310.0
31,421292.0
32,421376.0
33,421581.0
34,421614.0
35,421471.0
36,421369.0
37,421518.0
38,421579.0
39,421516.0
40,421358.0
41,421296.0
42,421246.0
43,421363.0
44,421445.0
45,421389.0
46,421261.0
47,421274.0
48,421433.0
49,421575.0
50,421479.0
51,421311.0
52,421375.0
53,421416.0
54,421481.0
55,421366.0
56,421269.0
57,421309.0
58,421349.0
59,421446.0
60,421433.0
61,421302.0
62,421367.0
63,421609.0
64,421638.0
65,421494.0
66,421429.0
67,421439.0
68,421297.0
69,421359.0
70,421229.0
71,420988.0
72,421004.0
73,421118.0
74,421243.0
75,421258.0
76,421252.0
77,421463.0
78,421559.0
79,421419.0
80,421334.0
81,421184.0
82,421063.0
83,421191.0
84,421315.0
85,421173.0
86,421105.0
87,421017.0
88,420951.0
89,421020.0
90,420987.0
91,421025.0
92,421238.0
93,421389.0
94,421298.0
95,421151.0
96,421061.0
97,420991.0
98,421154.0
99,421192.0
100,421131.0
101,421156.0
102,421093.0
103,421083.0
104,421093.0
105,420971.0
106,420798.0
107,420839.0
108,420970.0
109,421138.0
110,421201.0
111,421313.0
112,421226.0
113,421330.0
114,421498.0
115,421319.0
116,421248.0
117,421384.0
118,421472.0
119,421481.0
120,421361.0
121,421416.0
122,421476.0
123,421662.0
124,421804.0
125,421757.0
126,421654.0
127,421737.0
128,421914.0
129,422039.0
130,421785.0
131,421651.0
132,421716.0
133,421751.0
134,421859.0
135,421809.0
136,421721.0
137,421888.0
138,421974.0
139,421988.0
140,421946.0
141,421851.0
142,421879.0
143,422021.0
144,422089.0
145,422051.0
146,421982.0
147,422069.0
148,422175.0
149,422241.0
150,422152.0
151,422010.0
152,422014.0
153,422114.0
154,422056.0
155,421920.0
156,421864.0
157,421843.0
158,421989.0
159,422011.0
160,421843.0
161,421743.0
162,421765.0
163,421930.0
164,422073.0
165,421887.0
166,421814.0
167,421758.0
168,421804.0
169,421920.0
170,421854.0
171,421763.0
172,421787.0
173,421844.0
174,421941.0
175,421833.0
176,421647.0
177,421686.0
178,421770.0
179,421843.0
180,421734.0
181,421613.0
182,421691.0
183,421871.0
184,421868.0
185,421882.0
186,421816.0
187,421819.0
188,422036.0
189,422034.0
190,421877.0
191,421816.0
192,421782.0
193,421880.0
194,422034.0
195,422048.0
196,421930.0
197,421974.0
198,422166.0
199,422239.0
200,422294.0
201,422153.0
202,422076.0
203,422168.0
204,422228.0
205,422161.0
206,422016.0
207,422145.0
208,422299.0
209,422259.0
210,422185.0
211,422136.0
212,422169.0
213,422274.0
214,422210.0
215,422164.0
216,421960.0
217,421951.0
218,422071.0
219,422179.0
220,422036.0
221,422026.0
222,422020.0
223,422181.0
224,422304.0
225,422232.0
226,422056.0
227,422055.0
228,422137.0
229,422162.0
230,422183.0
231,422039.0
232,422006.0
233,422192.0
234,422236.0
235,422129.0
236,421991.0
237,421953.0
238,421966.0
239,422024.0
240,421998.0
241,422079.0
242,422134.0
243,422199.0
244,422310.0
245,422174.0
246,421962.0
247,421959.0
248,422033.0
249,422105.0
250,422007.0
251,421836.0
252,421866.0
253,422023.0
254,422083.0
255,421922.0
256,421889.0
257,422009.0
258,422114.0
259,422084.0
260,421949.0
261,421977.0
262,421959.0
263,422147.0
264,422227.0
265,421977.0
266,421865.0
267,421954.0
268,422080.0
269,422146.0
270,422099.0
271,422084.0
272,422097.0
273,422292.0
274,422416.0
275,422408.0
276,422236.0
277,422252.0
278,422310.0
279,422381.0
280,422268.0
281,422137.0
282,422196.0
283,422185.0
284,422309.0
285,422253.0
286,422010.0
287,421915.0
288,422123.0
289,422096.0
290,422132.0
291,422134.0
292,422194.0
293,422283.0
294,422132.0
295,421946.0
296,421796.0
297,421913.0
298,422108.0
299,422071.0
300,421926.0
301,421744.0
302,421821.0
303,421911.0
304,421994.0
305,421845.0
306,421757.0
307,421844.0
308,421970.0
309,421901.0
310,421792.0
311,421697.0
312,421736.0
313,421849.0
314,421999.0
315,421941.0
316,421814.0
317,421773.0
318,421824.0
319,421919.0
320,421746.0
321,421567.0
322,421684.0
323,421907.0
324,422083.0
325,421963.0
326,421762.0
327,421889.0
328,422054.0
329,422026.0
330,421879.0
331,421741.0
332,421710.0
333,421846.0
334,422104.0
335,422189.0
336,421719.0
337,421544.0
338,421706.0
339,421449.0
340,421033.0
341,420625.0
342,420540.0
343,420423.0
344,420388.0
345,420171.0
346,420039.0
347,419982.0
348,420096.0
349,420243.0
350,420214.0
351,420271.0
352,420384.0
353,420554.0
354,420593.0
355,420452.0
356,420409.0
357,420594.0
358,420672.0
359,420677.0
360,420627.0
361,420571.0
362,420555.0
363,420713.0
364,420864.0
365,420855.0
366,420712.0
367,420865.0
368,421065.0
369,421086.0
370,420984.0
371,420847.0
372,420908.0
373,421050.0
374,421061.0
375,421098.0
376,421013.0
377,421042.0
378,421164.0
379,421233.0
380,421193.0
381,421068.0
382,421011.0
383,421069.0
384,421145.0
385,421060.0
386,420917.0
387,420859.0
388,421003.0
389,421165.0
390,421039.0
391,420971.0
392,421021.0
393,421148.0
394,421174.0
395,421154.0
396,421073.0
397,421120.0
398,421246.0
399,421199.0
400,421070.0
401,420987.0
402,421066.0
403,421166.0
404,421149.0
405,421094.0
406,421033.0
407,421011.0
408,421176.0
409,421295.0
410,421266.0
411,421092.0
412,420975.0
413,421031.0
414,421056.0
415,420897.0
416,420904.0
417,421083.0
418,421104.0
419,421039.0
420,421144.0
421,421134.0
422,421152.0
423,421181.0
424,421106.0
425,421068.0
426,420938.0
427,421009.0
428,421226.0
429,421095.0
430,421074.0
431,421188.0
432,421094.0
433,421096.0
434,421242.0
435,421261.0
436,421110.0
437,421159.0
438,421333.0
439,421266.0
440,421212.0
441,421258.0
442,421281.0
443,421384.0
444,421317.0
445,421234.0
446,421197.0
447,421171.0
448,421217.0
449,421299.0
450,421314.0
451,421282.0
452,421344.0
453,421451.0
454,421476.0
455,421349.0
456,421298.0
457,421329.0
458,421322.0
459,421326.0
460,421196.0
461,421089.0
462,421116.0
463,421114.0
464,421124.0
465,421074.0
466,421038.0
467,421053.0
468,421178.0
469,421264.0
470,421216.0
471,421118.0
472,421104.0
473,421196.0
474,421296.0
475,421164.0
476,421154.0
477,421195.0
478,421263.0
479,421340.0
480,421230.0
481,421022.0
482,420982.0
483,421211.0
484,421312.0
485,421321.0
486,421217.0
487,421318.0
488,421321.0
489,421438.0
490,421483.0
491,421388.0
492,421363.0
493,421409.0
494,421331.0
495,421218.0
496,421143.0
497,421160.0
498,421228.0
499,421374.0
500,421339.0
501,421183.0
502,421207.0
503,421227.0
504,421179.0
505,421166.0
506,421113.0
507,421154.0
508,421256.0
509,421404.0
510,421408.0
511,421273.0
512,421350.0
513,421512.0
514,421522.0
515,421364.0
516,421281.0
517,421383.0
518,421366.0
519,421401.0
520,421399.0
521,421371.0
522,421296.0
523,421346.0
524,421340.0
525,421203.0
526,421153.0
527,421216.0
528,421190.0
529,421279.0
530,421314.0
531,421170.0
532,421308.0
533,421473.0
534,421487.0
535,421384.0
536,421376.0
537,421367.0
538,421375.0
539,421388.0
540,421368.0
541,421282.0
542,421214.0
543,421398.0
544,421438.0
545,421341.0
546,421378.0
547,421338.0
548,421265.0
549,421395.0
550,421439.0
551,421077.0
552,420941.0
553,420981.0
554,421021.0
555,421166.0
556,421026.0
557,420908.0
558,421031.0
559,421310.0
560,421351.0
561,421081.0
562,421148.0
563,421248.0
564,421369.0
565,421428.0
566,421384.0
567,421491.0
568,421652.0
569,421544.0
570,421413.0
571,421427.0
572,421506.0
573,421625.0
574,421681.0
575,421586.0
576,421446.0
577,421433.0
578,421658.0
579,421616.0
580,421640.0
581,421474.0
582,421464.0
583,421564.0
584,421641.0
585,421578.0
586,421519.0
587,421512.0
588,421528.0
589,421510.0
590,421531.0
591,421526.0
592,421454.0
593,421508.0
594,421531.0
595,421328.0
596,421191.0
597,421281.0
598,421462.0
599,421366.0
600,421358.0
601,421239.0
602,421063.0
603,421234.0
604,421260.0
605,421035.0
606,420803.0
607,420894.0
608,421030.0
609,421088.0
610,421121.0
611,421141.0
612,421123.0
613,421246.0
614,421218.0
615,421177.0
616,420963.0
617,420959.0
618,421191.0
619,421226.0
620,421143.0
621,420947.0
622,420898.0
623,420981.0
624,421002.0
625,420984.0
626,420925.0
627,421026.0
628,421047.0
629,421166.0
630,421013.0
631,420848.0
632,420961.0
633,421065.0
634,421083.0
635,421126.0
636,421055.0
637,421150.0
638,421246.0
639,421267.0
640,421152.0
641,421053.0
642,421043.0
643,420936.0
644,421144.0
645,421100.0
