event_timestamp_ms,event_elapsed_ms,blink
1132.0000000000018,1132.0000000000018,1
3490.199251553026,3490.199251553026,1
4174.78932714617,4174.78932714617,1
7027.247975450937,7027.247975450937,1
9689.542713868721,9689.542713868721,1
10944.624519122819,10944.624519122819,1
12351.837452286503,12351.837452286503,1
14338.0,14338.0,1
15470.0,15470.0,1
16441.000000000004,16441.000000000004,1
17381.0,17381.0,1
18299.0,18299.0,1
19691.105620836755,19691.105620836755,1
20510.000000000004,20510.000000000004,1
21810.110186363287,21810.110186363287,1
22336.0,22336.0,1
24635.44960706533,24635.44960706533,1
26236.47527879649,26236.47527879649,1
28774.0,28774.0,1
30951.0,30951.0,1
32147.0,32147.0,1
33017.28988848138,33017.28988848138,1
33723.624743656896,33723.624743656896,1
34783.0,34783.0,1
35513.0063767682,35513.0063767682,1
37654.0,37654.0,1
39421.39257540602,39421.39257540602,1
41257.86319886235,41257.86319886235,1
42199.64300576302,42199.64300576302,1
43047.24483197364,43047.24483197364,1
44299.37431329991,44299.37431329991,1
45516.423336576605,45516.423336576605,1
