event_timestamp_ms,event_elapsed_ms,blink
4373.686864755634,4373.686864755634,1
14705.0,14705.0,1
20315.0,20315.0,1
26262.13413666642,26262.13413666642,1
35525.0,35525.0,1
46929.0,46929.0,1
55572.526173190636,55572.526173190636,1
63700.0,63700.0,1
70290.62002844099,70290.62002844099,1
76580.40372726593,76580.40372726593,1
84253.93983983235,84253.93983983235,1
93059.63701818726,93059.63701818726,1
100355.7861088242,100355.7861088242,1
105765.00008981365,105765.00008981365,1
109161.48328717911,109161.48328717911,1
113438.53620238007,113438.53620238007,1
122999.00742459399,122999.00742459399,1
132182.0916248784,132182.0916248784,1
140610.40178130378,140610.40178130378,1
147277.57250205826,147277.57250205826,1
