event_timestamp_ms,event_elapsed_ms,blink
1570.8741602410648,1570.8741602410648,1
3664.794707707421,3664.794707707421,1
5804.567529935815,5804.567529935815,1
7883.203985814826,7883.203985814826,1
10175.817723916676,10175.817723916676,1
12575.420103129947,12575.420103129947,1
14547.067917897535,14547.067917897535,1
16488.147549490437,16488.147549490437,1
18016.556708225,18016.556708225,1
18658.488554893524,18658.488554893524,1
19651.95450807099,19651.95450807099,1
20507.86363696235,20507.86363696235,1
21317.92049109167,21317.92049109167,1
22158.54552839568,22158.54552839568,1
22953.31829093765,22953.31829093765,1
23748.09105347963,23748.09105347963,1
24466.443358084874,24466.443358084874,1
25276.5002122142,25276.5002122142,1
28012.352606349075,28012.352606349075,1
29724.1708641318,29724.1708641318,1
31466.5573050892,31466.5573050892,1
33071.386921760495,33071.386921760495,1
34691.50063001914,34691.50063001914,1
36137.152024549054,36137.152024549054,1
36907.41805097024,36907.41805097024,1
37734.8465799281,37734.8465799281,1
39504.0,39504.0,1
40324.0,40324.0,1
41271.43626015124,41271.43626015124,1
42178.93851771792,42178.93851771792,1
43553.53752550277,43553.53752550277,1
45021.55588333124,45021.55588333124,1
46169.279326724405,46169.279326724405,1
47450.458984465615,47450.458984465615,1
48558.14556355437,48558.14556355437,1
49685.0,49685.0,1
51400.762929167686,51400.762929167686,1
52882.12690843095,52882.12690843095,1
55004.08071656484,55004.08071656484,1
57459.67506056882,57459.67506056882,1
59968.65189031203,59968.65189031203,1
61837.038891184624,61837.038891184624,1
71165.62827411284,71165.62827411284,1
73193.93160691563,73193.93160691563,1
74693.0,74693.0,1
76979.30156425416,76979.30156425416,1
79370.06153731006,79370.06153731006,1
81561.59151261131,81561.59151261131,1
83553.89149015791,83553.89149015791,1
86143.88146096848,86143.88146096848,1
88435.02643514705,88435.02643514705,1
90825.78640820296,90825.78640820296,1
93216.54638125889,93216.54638125889,1
95408.07635656012,95408.07635656012,1
98197.29632512535,98197.29632512535,1
100588.05629818128,100588.05629818128,1
102529.0,102529.0,1
104724.0,104724.0,1
107660.72121847163,107660.72121847163,1
110350.32618815955,110350.32618815955,1
112641.47116233812,112641.47116233812,1
69577.49932337113,69577.49932337113,1
115629.92112865802,115629.92112865802,1
119216.06108824188,119216.06108824188,1
38583.73790322581,38583.73790322581,1
67743.12338709677,67743.12338709677,1
