EEG_CH1_RAW	EEG_CH1_BP_0p5_20
-62773	-24025.416
-54943	-24041.326
-30067	-24053.512
-17725	-24059.842
-40002	-24057.219
-62727	-24049.615
-54835	-24041.287
-30007	-24034.13
-17779	-24030.012
-40107	-24027.947
-62619	-24031.764
-54623	-24042.979
-29899	-24058.795
-17939	-24075.326
-40242	-24085.959
-62535	-24090.121
-54484	-24087.234
-29833	-24075.244
-18006	-24053.959
-40377	-24022.633
-62467	-23987.848
-54339	-23955.916
-29737	-23930.229
-18074	-23913.416
-40531	-23904.414
-62524	-23906.365
-54221	-23919.688
-29618	-23940.582
-18161	-23964.523
-40671	-23984.857
-62466	-24001.605
-54096	-24014.98
-29417	-24023.898
-18091	-24028.73
-40711	-24028.713
-62470	-24029.451
-54017	-24035.186
-29322	-24046.502
-18158	-24062.7
-40835	-24079.629
-62491	-24098.0
-53902	-24116.69
-29124	-24131.75
-18162	-24139.896
-40962	-24136.955
-62593	-24126.027
-53833	-24110.578
-28931	-24092.266
-18041	-24073.363
-41082	-24053.936
-62658	-24039.373
-53743	-24032.738
-28714	-24032.992
-18054	-24037.771
-41212	-24041.951
-62789	-24045.959
-53652	-24049.367
-28558	-24049.57
-18090	-24045.072
-41277	-24033.578
-62842	-24019.69
-53646	-24007.441
-28137	-23998.143
-17597	-23992.703
-41180	-23989.27
-62968	-23990.904
-53552	-23998.633
-28012	-24009.766
-17944	-24021.23
-41416	-24028.318
-63097	-24032.537
-53463	-24035.064
-27864	-24035.059
-18031	-24032.299
-41619	-24025.56
-63181	-24019.488
-53521	-24017.383
-28514	-24018.988
-19706	-24023.338
-42296	-24027.729
-63336	-24034.209
-53474	-24043.346
-28012	-24052.664
-18622	-24059.916
-42181	-24061.896
-63248	-24061.557
-53301	-24061.145
-27800	-24060.31
-18561	-24058.889
-42262	-24055.42
-63234	-24053.797
-53183	-24056.299
-27654	-24061.83
-18614	-24068.896
-42440	-24074.338
-63237	-24080.475
-53070	-24088.227
-27606	-24095.643
-18831	-24100.896
-42531	-24101.34
-63117	-24099.994
-52907	-24098.79
-27506	-24096.875
-18970	-24093.488
-42684	-24086.865
-63079	-24080.57
-52773	-24076.729
-27450	-24074.312
-19016	-24072.117
-42787	-24067.691
-62997	-24063.79
-52579	-24061.719
-27312	-24059.783
-19114	-24056.48
-42871	-24049.53
-62877	-24042.334
-52437	-24037.154
-27229	-24033.451
-19190	-24030.775
-42964	-24027.617
-62780	-24027.488
-52293	-24031.838
-27126	-24038.693
-19219	-24045.545
-43125	-24048.623
-62756	-24049.662
-52184	-24048.893
-27071	-24044.186
-19396	-24034.354
-43247	-24018.213
-62712	-24000.684
-52021	-23985.424
-26881	-23973.234
-19387	-23964.486
-43353	-23958.012
-62679	-23956.975
-51971	-23961.736
-26777	-23969.037
-19356	-23975.225
-43427	-23976.04
-62632	-23973.16
-51766	-23967.514
-26549	-23958.285
-19392	-23945.73
-43486	-23929.996
-62629	-23916.63
-51671	-23909.096
-26394	-23907.201
-19433	-23909.531
-43647	-23912.85
-62641	-23918.29
-51541	-23924.838
-26231	-23928.844
-19512	-23927.297
-43787	-23917.623
-62707	-23903.559
-51501	-23888.021
-26198	-23871.588
-19675	-23854.672
-43904	-23836.66
-62701	-23821.135
-51426	-23808.928
-26146	-23797.438
-19804	-23783.846
-44042	-23765.566
-62721	-23746.277
-51301	-23729.457
-25978	-23717.44
-19829	-23713.783
-44110	-23721.951
