EEG_CH1_RAW	EEG_CH1_BP_0p5_20
-42215	10.246045
-2634210	25.839127
-3433146	45.710358
-1549597	67.76993
2572076	89.34512
2100224	107.77307
-5880214	121.03791
-3893514	128.31932
291788	49.254078
-48576	7.4428368
-4123535	-24.765242
-8114640	-35.60012
-6332389	-17.356419
-1331244	31.530296
-295905	165.55598
-4117756	343.92813
-8056131	543.8822
-6174762	735.7645
-1238828	889.8337
-218303	964.9223
-3864935	961.59766
-7684369	891.045
-5732775	783.7501
-1036389	683.9953
-170098	628.4953
-3743715	663.4605
-7520899	811.47925
-5564874	1069.1127
-981128	1404.5317
-179539	1764.6787
-3777799	2081.378
-7634452	2292.0706
-5794919	2356.1162
-1104558	2268.6143
-259471	2085.8003
-3985784	1872.501
-7992700	1722.9802
-6295414	1728.7769
-1362433	1953.8837
-325816	2430.2385
-4096053	3107.5837
-8096270	3887.5095
-6491816	4635.182
-1424293	5211.1143
-306323	5503.1777
-4027055	5470.7593
-7954748	5154.883
-6309810	4679.211
-1267956	4226.52
-228324	3977.8958
-3839155	4108.591
-7707997	4705.3643
-5966107	5744.356
-1100272	7085.753
-175074	8485.801
-3780239	9680.5205
-7701413	10429.169
-6022640	10587.162
-1074389	10153.96
-208459	9295.833
-3827133	8300.062
-7739441	7526.6177
-6141887	7316.451
-1171317	7900.156
-206426	9326.228
-3828887	11431.797
-7809484	13863.922
-6321499	16153.894
-1353064	17828.691
-280187	18552.092
-3983847	18184.184
-8071660	16870.072
-6832091	15019.715
-1743136	13226.357
-309745	12136.619
-4054614	12270.509
-8153519	13887.049
-7130244	16887.498
-2063198	20805.73
-478467	24933.752
-4178756	28386.203
-7803762	30388.908
-6897958	30468.977
-2166134	28609.012
-784389	25374.602
-4250919	21658.984
-6081932	18629.965
-4784177	17420.492
-622856	18794.367
399316	22996.848
-2420886	29549.84
-2091280	37297.066
-505597	44569.75
3117499	49590.805
3644369	50830.652
948020	47415.773
-13910	39296.55
842905	27645.84
4540118	14514.8125
4580179	2545.7417
1263761	-5542.3335
13343	-7546.39
806388	-2301.4229
4359394	9934.0
4313755	27363.7
1161959	46835.465
11756	64306.055
793768	75513.36
4334323	76738.6
4395002	65513.848
1250777	41138.215
14511	4898.327
809905	-40053.203
4532568	-89150.88
4904741	-137117.81
1566489	-178791.47
24409	-209927.23
738343	-227826.12
3970128	-231697.02
4003265	-222682.36
1169110	-203563.38
14902	-178209.11
547023	-150891.78
3021364	-125584.23
2432748	-105380.336
-876531	-92128.766
-1420763	-86328.81
-2027802	-87282.38
-625627	-93445.99
-1726271	-102892.48
-6626509	-113776.914
-8388608	-124710.22
-8388608	-134971.58
-3745081	-144530.9
-1234437	-153895.27
-4341136	-163831.77
-8173627	-175040.84
-6878375	-187861.86
-1810052	-202078.56
-106038	-216839.0
-2767317	-230828.2
-6479443	-242440.66
-5810326	-250094.39
-1294079	-252538.67
-7737	-249126.66
-2067031	-239897.34
-4388639	-225625.36
-2137719	-207683.66
1642567	-187815.7
2210516	-167853.39
