EEG_CH1_RAW	EEG_CH1_BP_0p5_20
-10734	2.60526
-1190	4.253676
-2837	6.1807795
-8661	9.319265
-8564	12.720896
-12466	17.042145
-16197	22.435072
-12961	27.361832
-9029	30.880312
-8541	33.08263
-11332	34.75724
-12588	36.274338
-10308	37.521114
-8592	38.964092
-8952	41.449493
-11872	46.053604
-13017	52.85206
-10456	60.81563
-8656	69.10947
-8949	77.09686
-11806	84.566956
-13140	90.918526
-10547	95.17018
-8669	97.434456
-9056	98.81764
-11997	101.22927
-13493	106.102806
-10706	113.74323
-8761	124.51846
-8977	138.43817
-11968	155.17908
-13405	173.13666
-10645	189.56316
-8843	202.55774
-9234	211.33418
-12128	216.5881
-13362	219.57413
-10547	221.74442
-8787	225.74236
-9129	234.46455
-12177	250.43121
-13756	274.12238
-10909	303.39044
-8887	335.1756
-9171	365.9167
-12120	392.4441
-13531	411.9356
-10688	422.52606
-9113	425.38214
-9589	424.2391
-12309	424.73172
-13738	432.3447
-11029	450.66785
-9466	481.7002
-9775	524.70026
-13111	576.386
-15851	630.67615
-11559	678.90405
-8927	714.4214
-9157	733.7686
-12209	737.8663
-13623	731.2698
-10799	721.19855
-8847	717.26
-9166	728.8751
-12191	762.83374
-13774	820.34796
-10776	895.91
-8897	979.6372
-9187	1058.9923
-12057	1121.8744
-13584	1158.9557
-10669	1166.095
-9064	1147.5027
-10394	1115.1776
-12361	1085.9296
-13699	1077.4961
-10636	1103.2037
-9022	1169.6812
-9314	1273.7891
-12244	1402.5607
-13839	1534.5703
-10779	1644.2588
-8987	1709.8458
-9345	1719.0636
-12309	1673.7758
-17548	1591.4286
-11531	1499.5558
-9054	1434.8888
-9323	1432.8799
-12353	1518.0294
-13954	1693.9883
-10771	1937.3872
-9017	2198.735
-9336	2406.6228
-12282	2477.835
-13897	2330.1272
-10799	1897.0072
-9035	1143.3202
-9455	74.3927
-12300	-1260.7136
-13979	-2774.1963
-10886	-4351.062
-9434	-5863.404
-9836	-7189.617
-13041	-8231.869
-15814	-8930.739
-11419	-9273.894
-8982	-9292.916
-9286	-9056.438
-12249	-8656.813
-14342	-8194.457
-10693	-7762.241
-8914	-7429.601
-9355	-7234.8945
-12421	-7183.211
-14134	-7251.4795
-10680	-7397.89
-8916	-7571.3438
-9337	-7723.629
-12289	-7818.7046
-14005	-7839.186
-10604	-7787.9517
-8965	-7682.8306
-9377	-7551.0176
-12414	-7421.3
-14084	-7318.073
-10730	-7256.846
-8943	-7240.1963
-9457	-7259.3193
-12472	-7297.4927
-14151	-7335.951
-10702	-7359.402
-8934	-7357.797
-9345	-7328.718
-13153	-7276.6646
-14212	-7212.3794
-10838	-7149.224
-9111	-7097.989
-9503	-7064.68
-12583	-7049.1655
-14172	-7046.7593
-10632	-7050.7573
-9062	-7053.1978
-9495	-7048.481
-12430	-7035.1978
-14264	-7017.7324
-11313	-7005.793
-9052	-7010.336
-9412	-7040.451
-12617	-7100.279
-14225	-7187.7974
-10822	-7294.42
-9215	-7404.0264
-9361	-7496.3364
-13078	-7550.2046
-16183	-7549.0225
-11783	-7485.5796
-9130	-7361.345
-9232	-7187.5356
-12635	-6983.364
