EEG_CH1_RAW	EEG_CH1_BP_0p5_20
-287170	-247005.25
-388162	-247083.05
-480789	-247064.53
-514164	-246954.27
-432822	-246799.58
-287390	-246665.14
-387887	-246561.05
-480797	-246541.4
-514181	-246582.58
-433154	-246655.6
-287358	-246727.19
-387646	-246719.52
-480632	-246639.6
-514196	-246473.67
-433544	-246260.39
-287779	-246072.67
-387624	-245946.77
-480642	-245974.06
-514141	-246165.23
-433648	-246504.94
-287491	-246938.84
-387394	-247325.39
-480687	-247569.73
-513975	-247535.58
-432820	-247142.5
-287290	-246380.25
-387487	-245266.48
-480367	-243954.94
-514056	-242602.81
-429612	-241411.84
-279880	-240578.77
-370571	-240208.58
-461899	-240396.19
-513423	-241097.8
-433449	-242217.08
-287616	-243596.5
-388321	-245007.78
-480854	-246296.73
-514116	-247301.69
-433976	-247941.39
-288548	-248216.22
-389641	-248145.45
-480810	-247861.31
-514031	-247466.02
-433584	-247074.17
-288267	-246780.77
-388805	-246591.77
-480655	-246537.25
-514018	-246564.78
-433109	-246625.31
-287625	-246681.3
-388124	-246667.9
-480457	-246613.14
-513936	-246521.39
-432068	-246433.77
-286867	-246403.34
-387429	-246425.38
-480176	-246538.28
-513880	-246704.17
-431030	-246884.25
-285599	-247038.16
-385082	-247086.78
-479620	-247038.25
-513847	-246884.73
-431022	-246671.69
-285171	-246478.11
-384579	-246344.34
-479646	-246362.72
-513831	-246541.81
-431586	-246862.73
-285465	-247264.75
-385149	-247601.2
-480026	-247772.8
-513909	-247642.58
-431591	-247134.94
-285831	-246247.78
-384617	-245009.69
-479648	-243587.05
-514079	-242150.02
-428511	-240909.98
-277908	-240068.92
-367987	-239731.16
-460552	-239984.12
-513739	-240771.98
-431806	-241983.36
-284729	-243445.11
-381555	-244915.1
-479476	-246228.62
-514256	-247219.6
-427160	-247812.8
-278575	-248018.5
-373029	-247870.88
-476548	-247514.9
-513702	-247069.34
-425881	-246663.47
-277074	-246398.97
-371452	-246284.31
-475474	-246340.78
-512823	-246503.81
-423767	-246711.83
-276108	-246910.95
-371571	-247021.77
-475136	-247057.12
-511897	-247014.0
-425101	-246933.47
-275976	-246872.2
-367729	-246835.11
-473175	-246867.44
-511344	-246944.3
-416799	-247041.28
-268551	-247127.97
-361474	-247133.64
-470874	-247066.55
-510751	-246919.0
-418335	-246737.17
-268979	-246594.94
-360137	-246527.95
-470724	-246616.52
-510442	-246862.88
-417219	-247244.12
-265811	-247693.53
-354698	-248062.27
-468431	-248241.84
-509889	-248094.69
-410956	-247550.16
-263198	-246608.61
-353925	-245305.75
-468319	-243810.47
-509773	-242303.11
-411455	-241009.64
-261622	-240142.6
-349464	-239816.14
-450671	-240123.05
-509765	-241010.11
-434453	-242363.1
-286710	-244001.48
-385921	-245671.2
-478344	-247191.92
-510778	-248379.33
-434578	-249136.66
-280851	-249461.31
-366567	-249378.73
-472030	-249029.69
-510146	-248536.7
-420450	-248040.66
-268380	-247659.72
-357536	-247420.95
-469051	-247360.16
-509520	-247426.25
-416263	-247566.0
-266182	-247725.56
