EEG_CH1_RAW	EEG_CH1_BP_0p5_20
-521803	-226478.23
-343980	-225987.98
-272124	-225473.39
-389626	-225027.94
-512137	-224705.11
-521534	-224530.33
-341879	-224519.11
-266347	-224633.6
-385545	-224841.56
-511206	-225080.27
-520892	-225293.8
-339247	-225464.42
-262873	-225570.06
-380789	-225636.34
-509242	-225682.52
-518996	-225737.6
-331688	-225851.0
-254495	-226033.9
-371243	-226306.98
-506451	-226648.84
-515894	-227030.08
-320882	-227439.31
-247639	-227837.84
-367514	-228227.25
-504646	-228599.31
-513560	-228967.95
-314151	-229382.7
-243846	-229863.28
-364549	-230451.5
-502758	-231147.2
-510533	-231934.33
-304654	-232798.05
-235097	-233669.31
-363342	-234495.73
-502684	-235205.2
-508577	-235743.06
-301108	-236106.38
-234663	-236283.83
-357097	-236324.3
-499559	-236271.92
-508984	-236188.66
-304144	-236161.52
-235383	-236227.6
-358102	-236430.03
-499190	-236758.67
-511906	-237180.84
-316251	-237665.75
-238956	-238141.48
-362320	-238561.73
-500090	-238866.5
-514694	-239019.02
-328756	-239026.22
-246054	-238891.88
-371469	-238659.14
-503076	-238360.4
-519156	-238031.86
-350502	-237723.8
-260620	-237458.42
-388410	-237264.02
-508075	-237142.64
-524361	-237082.9
-377762	-237083.19
-280056	-237131.34
-410032	-237228.8
-515032	-237368.27
-529177	-237537.3
-402854	-237734.94
-294366	-237961.84
-422051	-238224.12
-519324	-238519.81
-531893	-238836.28
-410812	-239167.05
-306835	-239510.97
-440699	-239873.44
-524946	-240256.64
-534153	-240650.22
-412891	-241050.06
-290329	-241458.55
-408072	-241876.53
-518164	-242287.42
-533608	-242667.2
-405613	-243000.2
-295012	-243276.97
-430022	-243496.42
-525374	-243664.38
-533986	-243782.0
-401154	-243871.66
-288115	-243957.69
-411158	-244069.0
-518778	-244216.38
-532886	-244390.0
-390207	-244579.03
-274403	-244754.36
-390698	-244886.58
-512869	-244925.95
-529385	-244826.16
-369148	-244572.39
-265171	-244155.27
-388564	-243602.52
-511750	-242947.1
-527986	-242233.48
-365618	-241530.2
-260126	-240884.17
-380527	-240341.4
-508836	-239909.47
-526299	-239566.38
-360264	-239284.61
-257697	-239003.78
-376224	-238672.16
-506749	-238223.67
-524596	-237606.47
-354394	-236809.02
-257350	-235825.19
-376768	-234691.11
-506280	-233442.72
-523564	-232122.45
-350990	-230793.7
-252226	-229491.28
-367760	-228256.47
-502968	-227097.53
-519415	-226009.16
-333694	-224999.64
-245574	-224044.38
-361474	-223143.11
-500177	-222277.34
-512132	-221433.38
-310856	-220625.72
-236781	-219829.92
-348701	-219051.45
-495036	-218272.6
-485093	-217482.55
-263477	-216696.88
-219292	-215887.98
-328272	-215085.08
-483307	-214305.53
-401608	-213607.2
-197159	-213055.25
-177633	-212669.45
-257049	-212517.47
-350547	-212627.7
-244261	-213017.1
-188442	-213628.62
-217686	-214377.69
-321177	-215218.55
-476203	-216078.16
-465323	-216911.56
-258571	-217727.17
-250875	-218514.17
-396006	-219342.06
-505584	-220307.95
-522127	-221497.02
-421015	-222992.16
-283567	-224853.34
-362361	-227098.53
-480591	-229691.55
-385362	-232568.55
-247266	-235616.23
-249816	-238688.98
-348566	-241709.84
-481236	-244623.19
-374090	-247443.7
-204941	-250210.48
-206996	-252953.64
-338158	-255751.2
-477926	-258647.62
-393720	-261652.67
-273210	-264688.47
-288170	-267589.34
-430576	-270187.2
-512421	-272311.4
-479052	-273795.47
-270747	-274557.84
-239350	-274553.53
-326524	-273883.66
-449531	-272726.56
-323344	-271344.5
-210910	-269982.22
-241391	-268836.7
-356104	-268088.47
-485149	-267816.03
-488682	-267981.2
-299666	-268479.12
-264381	-269089.03
-371214	-269600.34
-492717	-269812.88
-491114	-269558.03
-304869	-268764.62
-269799	-267394.34
-367341	-265519.44
-493052	-263263.78
-520594	-260762.69
-386836	-258181.02
-327284	-255648.67
-424572	-253297.12
-505876	-251241.5
-525714	-249534.61
-387351	-248224.78
-311391	-247309.86
-412919	-246770.27
-507440	-246564.4
-528047	-246583.67
-391022	-246709.12
-303182	-246784.38
-389704	-246675.5
-500044	-246282.45
-499013	-245548.34
-320395	-244517.94
-290687	-243275.42
-386057	-242014.95
-499053	-240965.06
-511127	-240316.69
-342632	-240212.66
-294837	-240640.6
-382894	-241482.25
-500440	-242482.48
-484394	-243283.31
-311160	-243520.06
-287774	-242851.48
-374510	-241132.88
-497297	-238416.66
-479936	-234966.9
-309547	-231235.72
-285244	-227726.05
-366824	-224956.48
-488506	-223263.4
-419079	-222703.75
-269818	-222967.48
-268709	-223363.88
-342875	-222994.55
-463444	-220826.28
-378793	-215916.8
-263767	-207582.53
-264791	-195584.47
-355625	-180312.75
-482616	-162735.86
-417491	-144339.36
-282081	-126933.06
-283172	-112401.35
-366158	-102526.664
-489749	-98662.99
-449445	-101563.47
-290092	-111268.766
-276662	-127062.625
-353157	-147646.48
-480455	-171219.9
-412172	-195715.4
-278329	-218997.28
-277152	-239068.3
-360914	-254333.88
-489529	-263670.0
-471479	-266514.44
-313866	-262911.9
-294434	-253454.97
-382029	-239307.5
-499447	-222054.73
-476773	-203555.73
-326547	-185792.02
-308012	-170633.6
-381367	-159710.06
-495759	-154171.94
-470194	-154518.55
-313281	-160533.0
-307692	-171226.8
-391079	-185016.2
-499295	-199894.53
-491839	-213670.8
-334225	-224341.66
-306191	-230339.72
-380019	-230843.84
-492866	-225913.48
-445717	-216453.33
-307492	-204094.66
-300184	-190889.2
-373755	-179019.39
-488065	-170424.84
-430224	-166452.05
-308791	-167667.05
-302297	-173759.23
-371230	-183683.56
-485677	-195882.58
