EEG_CH1_RAW	EEG_CH1_BP_0p5_20
-111021	26.946018
-108841	67.425064
-122507	122.19597
-155097	192.14198
-176778	271.4762
-197810	354.42047
-261523	445.80646
-237928	525.929
-165441	575.08875
-122821	590.1038
-110562	577.9497
-106447	550.99097
-112008	528.04675
-115769	527.8179
-110196	563.8147
-99524	642.0145
-89604	759.1762
-79909	901.7866
-19186	1035.9926
-35140	1149.1592
-44151	1222.1117
-174859	1275.4971
-174794	1297.2368
-119917	1287.9653
-117050	1275.7249
-113614	1287.523
-108525	1348.6321
-106875	1476.6324
-112640	1675.9093
-117612	1932.4958
-114260	2214.7358
-108847	2481.779
-106404	2693.8303
-111583	2823.7021
-116297	2863.5518
-112820	2828.5452
-107834	2757.75
-106981	2706.8257
-112080	2734.9187
-116639	2887.7727
-112922	3183.0605
-107782	3604.9453
-106344	4105.0195
-112183	4612.122
-119569	5047.372
-113925	5341.564
-107854	5458.7036
-106471	5408.333
-111149	5247.379
-115868	5068.449
-111954	4977.639
-107296	5070.5757
-113137	5408.042
-145289	5999.722
-171382	6788.495
-171441	7658.3467
-173799	8467.417
-201552	9084.682
-166441	9402.033
-120816	9385.277
-112552	9093.79
-106944	8660.715
-106077	8270.149
-114852	8115.1445
-118597	8344.822
-112376	9022.214
-107590	10102.915
-110931	11436.795
-136021	12799.787
-125946	13930.429
-111517	14607.051
-106100	14708.004
-107049	14251.069
-113386	13403.279
-114364	12450.703
-111546	11738.181
-108150	11586.467
-105742	12206.205
-113106	13632.72
-121929	15693.838
-143246	18033.877
-120316	20169.137
-110066	21617.047
-116259	22016.09
-124553	21233.744
-121587	19433.057
-112122	17077.29
-108087	14858.689
-122616	13557.726
-124541	13845.749
-109323	16090.006
-105252	20198.398
-106449	25527.943
-113155	30902.83
-116059	34743.617
-110747	35300.02
-105160	30952.914
-100539	20528.688
-104677	3572.3955
-114120	-19480.95
-110111	-47275.72
-104756	-77649.58
-110422	-107892.32
-143585	-135106.47
-160623	-156627.67
-175824	-170400.81
-180988	-175279.36
-196419	-171176.78
-161187	-159077.72
-119766	-140855.28
-109612	-118973.45
-103169	-96130.12
-102373	-74874.77
-109104	-57280.977
-114441	-44721.438
-109058	-37769.438
-103345	-36226.227
-104912	-39261.023
-109512	-45626.727
-114405	-53901.027
-108781	-62712.758
-102547	-70910.945
-102070	-77666.48
-109897	-82502.05
-116028	-85265.44
-109696	-86063.77
-103022	-85178.92
-102896	-82992.9
-111835	-79932.4
-121039	-76436.34
-113042	-72938.31
-104784	-69844.16
-104451	-67508.04
-113387	-66198.16
-120609	-66055.68
