EEG_CH1_RAW	EEG_CH1_BP_0p5_20
5245	42318.574
31058	43628.99
19744	44016.625
-574	43547.4
-1197	42393.15
447	40825.645
14032	39163.816
10644	37739.992
-847	36858.164
-87	36782.223
8836	37702.02
37041	39673.082
24201	42625.613
-352	46349.95
-32	50529.47
14263	54772.777
35938	58653.164
19216	61772.582
-388	63799.47
-767	64527.91
4878	63908.926
41571	62032.97
54415	59127.004
13331	55520.52
4911	51587.535
44010	47698.383
101206	44159.06
100266	41182.86
35100	38869.2
8177	37197.723
46148	36058.37
95868	35277.453
88406	34661.2
27040	34034.277
5183	33263.43
36524	32276.635
84751	31053.943
73980	29631.107
14473	28073.875
-152	26454.89
1046	24837.908
7803	23262.523
17340	21745.496
7381	20290.549
-84	18898.824
4941	17577.666
28046	16347.769
13621	15243.295
-214	14313.645
-1175	13616.702
-997	13189.5625
-997	13036.756
-1203	13122.76
-1201	13372.52
-1193	13681.232
-1345	13931.474
-4697	14013.343
-3979	13842.792
-1269	13379.164
-1205	12635.622
-1211	11676.939
-1827	10608.224
-1944	9550.93
-1212	8618.481
-1197	7913.1743
-1213	7503.924
-1289	7408.5845
-1353	7591.8203
-1191	7975.3354
-1196	8474.947
-1071	9004.753
344	9482.228
1183	9840.971
-1131	10031.85
1254	10028.093
22671	9825.581
75668	9412.058
89265	8770.647
34874	7883.4336
14436	6723.018
84638	5259.601
158646	3487.914
184935	1449.9845
104538	-745.0517
32532	-2936.3079
81823	-4930.1133
160150	-6507.0317
193291	-7450.483
114038	-7566.0586
40653	-6749.534
89054	-5031.2812
169427	-2568.2302
195620	372.0919
108393	3447.192
33809	6260.9287
80911	8418.191
156102	9605.217
177150	9645.335
97722	8542.419
30858	6466.2896
78959	3731.9246
158265	756.24097
170990	-2004.591
73863	-4122.3223
17617	-5295.0083
72829	-5388.7153
108961	-4443.567
61238	-2672.7607
38711	-443.69778
22000	1821.4215
24080	3730.3364
2850	4985.08
586	5419.078
-956	5045.3525
-1203	4069.7212
-1202	2865.6985
-1204	1889.8257
-1211	1594.4187
-1199	2354.833
-1202	4418.4297
-1185	7880.812
-1198	12644.192
-1217	18415.768
-1198	24763.176
-1201	31190.992
-1204	37224.4
-1196	42437.28
-1194	46485.977
-1186	49141.97
-1173	50312.324
706	50037.387
11504	48436.06
9449	45673.08
-730	41937.113
-987	37430.16
2397	32370.064
21129	26961.047
18378	21403.512
-210	15893.519
-764	10633.058
6308	5834.4404
33478	1676.3494
28830	-1705.3411
818	-4247.5864
-539	-5969.459
9628	-6966.7573
38497	-7428.7866
31977	-7598.8916
1164	-7748.42
-627	-8124.155
8449	-8894.809
35999	-10138.848
29491	-11809.281
798	-13753.6045
-662	-15731.347
7946	-17451.771
34706	-18653.246
27652	-19143.139
534	-18859.357
-697	-17882.016
7668	-16422.652
35700	-14811.633
30506	-13420.173
953	-12600.43
-642	-12599.15
8328	-13486.395
31566	-15135.788
27405	-17203.057
866	-19173.799
-874	-20420.97
5983	-20289.594
34843	-18216.379
31512	-13800.231
1201	-6887.3804
-765	2405.0833
7101	13706.391
31724	26419.652
26848	39819.117
1918	53129.523
974	65633.73
17719	76757.266
48949	86106.56
43718	93509.22
3899	98984.336
-185	102706.07
14631	104951.76
48641	106028.94
45971	106243.65
4938	105857.9
171	105064.6
16947	104000.86
50973	102762.43
47173	101440.3
4893	100119.07
-150	98876.34
14701	97777.625
47729	96841.38
43615	96026.66
3584	95192.125
-713	94090.375
9753	92390.27
40002	89696.82
38787	85631.71
3007	79892.37
-552	72321.98
11077	62970.85
40190	52109.492
39436	40233.562
3251	28005.098
-369	16161.035
13674	5423.3467
48331	-3610.2927
46739	-10533.113
4522	-15193.988
-103	-17708.86
16014	-18419.07
50927	-17833.947
49684	-16523.057
6012	-15026.688
-25	-13777.826
15923	-13040.937
50232	-12900.401
48561	-13257.75
5194	-13894.296
-257	-14546.728
14354	-14947.914
47894	-14906.491
46781	-14335.289
4432	-13263.684
-378	-11822.242
13971	-10181.4375
47853	-8529.686
47393	-7026.2563
4751	-5765.843
-447	-4768.3916
13348	-3965.2966
46590	-3247.5881
45816	-2492.9578
4132	-1603.0898
-471	-531.9841
12895	719.0729
44935	2074.579
44543	3420.9768
3990	4633.589
-709	5586.369
10313	6198.553
40944	6442.9287
41476	6360.1655
3433	6038.4756
-763	5592.413
8934	5141.6724
38290	4778.918
39452	4567.9136
3071	4534.2627
-847	4651.065
8100	4863.0854
36431	5099.9033
37331	5305.6963
2679	5451.7705
-795	5524.107
8915	5533.0156
38442	5502.1875
40106	5468.291
3174	5466.704
-873	5503.8735
7424	5566.3574
34600	5620.9497
36480	5635.9673
2523	5592.451
-958	5479.426
4846	5314.1353
28874	5139.062
31794	5026.97
1784	5066.98
-956	5332.3403
5004	5875.447
28894	6709.479
32114	7810.7954
1868	9109.728
-1006	10497.975
4209	11872.405
27556	13130.579
31274	14177.851
1721	14957.547
-1046	15446.853
3014	15689.894
24526	15765.43
29399	15744.498
1545	15689.58
-1057	15634.279
2753	15611.0
23518	15625.774
29220	15635.543
1578	15574.911
-1054	15369.686
2796	14989.032
23764	14433.333
28949	13715.074
1528	12875.49
-1069	11977.063
2489	11123.69
22768	10423.57
28789	9950.529
1623	9745.3
-1076	9811.499
2341	10150.183
22546	10730.159
29328	11475.454
1771	12304.206
-1074	13150.729
2159	13956.252
21435	14675.667
28590	15279.6455
1708	15770.108
-1088	16147.296
2059	16419.506
21392	16593.082
28734	16677.475
1758	16686.709
-1078	16623.576
1979	16492.225
21483	16295.778
29265	16046.688
1864	15770.424
-1099	15487.767
1826	15222.905
20171	14995.135
28021	14822.318
1714	14720.909
-1129	14687.579
1353	14709.52
18864	14761.963
26813	14819.312
1543	14858.993
-1139	14855.662
1268	14795.4795
18604	14668.455
26309	14478.982
1551	14240.78
-1144	13967.728
910	13681.839
17049	13395.617
25321	13119.783
1451	12857.194
-1151	12600.7705
676	12347.818
16524	12084.682
25071	11801.725
1436	11493.794
-1159	11161.43
763	10824.151
16581	10500.249
25688	10215.879
1615	9998.159
-1152	9867.839
728	9845.874
16414	9930.955
25840	10108.629
1690	10348.998
-1156	10607.311
858	10840.043
16541	10994.533
26192	11027.842
1791	10910.917
-1139	10630.779
834	10205.66
16787	9664.967
27241	9055.712
2068	8436.193
-1156	7860.7793
818	7384.942
16150	7040.373
26514	6841.546
1919	6781.1646
-1165	6828.856
601	6950.5635
15966	7095.907
25688	7217.6704
1831	7277.9824
-1177	7249.8623
559	7131.8687
15192	6932.3813
25755	6673.4404
1923	6386.999
-1171	6104.2188
503	5865.3647
14955	5691.661
25745	5592.0
1906	5562.828
-1157	5586.26
523	5651.1904
14887	5733.8125
25699	5810.8115
1964	5864.766
-1179	5882.752
389	5874.2515
14390	5845.551
25683	5806.623
2051	5769.4
-1171	5741.1787
311	5738.529
14214	5762.031
25576	5806.7856
2037	5863.7437
-1179	5916.7637
211	5962.16
13636	5989.065
25329	5990.504
2084	5966.14
-1181	5916.213
141	5858.214
13248	5803.1377
24786	5761.8457
1993	5743.234
-1168	5748.762
-127	5789.4595
12146	5860.746
23435	5951.2983
1795	6046.247
-1196	6125.6636
-211	6185.339
11693	6214.023
23098	6202.774
1796	6148.393
-1172	6050.064
